name	virus	date	region	country	db	segment	host	authors	url
JX458847	marburg	2000	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/JX458847
JX458848	marburg	2000	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/JX458848
JX458849	marburg	2000	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/JX458849
JX458850	marburg	2000	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/JX458850
JX458851	marburg	1999	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/JX458851
JX458852	marburg	2008	Africa	Uganda	genbank	genome	Rousettus aegyptiacus		https://www.ncbi.nlm.nih.gov/nuccore/JX458852
JX458853	marburg	2008	Africa	Uganda	genbank	genome	Rousettus aegyptiacus		https://www.ncbi.nlm.nih.gov/nuccore/JX458853
JX458854	marburg	2009	Africa	Uganda	genbank	genome	Rousettus aegyptiacus		https://www.ncbi.nlm.nih.gov/nuccore/JX458854
JX458855	marburg	2009	Africa	Uganda	genbank	genome	Rousettus aegyptiacus		https://www.ncbi.nlm.nih.gov/nuccore/JX458855
JX458856	marburg	2009	Africa	Uganda	genbank	genome	Rousettus aegyptiacus		https://www.ncbi.nlm.nih.gov/nuccore/JX458856
JX458857	marburg	2009	Africa	Uganda	genbank	genome	Rousettus aegyptiacus		https://www.ncbi.nlm.nih.gov/nuccore/JX458857
JX458858	marburg	2009	Africa	Uganda	genbank	genome	Rousettus aegyptiacus		https://www.ncbi.nlm.nih.gov/nuccore/JX458858
GQ433351	marburg	1967	Africa	Germany	genbank	genome	Mus musculus		https://www.ncbi.nlm.nih.gov/nuccore/GQ433351
FJ750953	marburg	2007	Africa	Uganda	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/FJ750953
FJ750954	marburg	2007	Africa	Uganda	genbank	genome	Rousettus aegyptiacus		https://www.ncbi.nlm.nih.gov/nuccore/FJ750954
FJ750955	marburg	2007	Africa	Uganda	genbank	genome	Rousettus aegyptiacus		https://www.ncbi.nlm.nih.gov/nuccore/FJ750955
FJ750956	marburg	2008	Africa	Uganda	genbank	genome	Rousettus aegyptiacus		https://www.ncbi.nlm.nih.gov/nuccore/FJ750956
FJ750957	marburg	2007	Africa	Uganda	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/FJ750957
FJ750958	marburg	2007	Africa	Uganda	genbank	genome	Rousettus aegyptiacus		https://www.ncbi.nlm.nih.gov/nuccore/FJ750958
FJ750959	marburg	2007	Africa	Uganda	genbank	genome	Rousettus aegyptiacus		https://www.ncbi.nlm.nih.gov/nuccore/FJ750959
EU500826	ravn	1987	Africa	Kenya	genbank	genome			https://www.ncbi.nlm.nih.gov/nuccore/EU500826
EU500828	ravn	1987	Africa	Kenya	genbank	genome			https://www.ncbi.nlm.nih.gov/nuccore/EU500828
EF446131	ravn	1987	Africa	Kenya	genbank	genome			https://www.ncbi.nlm.nih.gov/nuccore/EF446131
DQ447649	ravn	1987	Africa	Kenya	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/DQ447649
DQ447650	marburg	1999-05	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/DQ447650
DQ447651	marburg	1999-05	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/DQ447651
DQ447652	marburg	1999-05	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/DQ447652
DQ447653	marburg	2005-03	Africa	Angola	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/DQ447653
DQ447654	marburg	2005-03	Africa	Angola	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/DQ447654
DQ447655	marburg	2005-03	Africa	Angola	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/DQ447655
DQ447656	marburg	2005-04	Africa	Angola	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/DQ447656
DQ447657	marburg	2005-04	Africa	Angola	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/DQ447657
DQ447658	marburg	2005-04	Africa	Angola	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/DQ447658
DQ447659	marburg	2005-04	Africa	Angola	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/DQ447659
DQ447660	marburg	2005-05	Africa	Angola	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/DQ447660
KP985768	marburg	2014	Africa	Uganda	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/KP985768
KR867677	marburg	2005-03-13	Africa	Angola	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/KR867677
KR063674	marburg	2005-03-13	Africa	Angola	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/KR063674
JX458825	marburg	1999	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/JX458825
JX458826	marburg	1999	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/JX458826
JN408064	marburg	2008	Europe	Netherlands	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/JN408064
GQ433352	marburg	1967	Europe	Germany	genbank	genome	Mus musculus		https://www.ncbi.nlm.nih.gov/nuccore/GQ433352
MH638315	marburg	2017-10-25	Africa	Uganda	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/MH638315
EF446132	marburg	1967	Africa	Germany	genbank	genome			https://www.ncbi.nlm.nih.gov/nuccore/EF446132
DQ217792	marburg	1980	Africa	Kenya	genbank	genome			https://www.ncbi.nlm.nih.gov/nuccore/DQ217792
MT586762	marburg	2005	Africa	Angola	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/MT586762
MN258361	marburg	2017-06-12	Africa	Sierra Leone	genbank	genome	Rousettus aegyptiacus		https://www.ncbi.nlm.nih.gov/nuccore/MN258361
KU059750	marburg	2007-01-01	Africa	Uganda	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/KU059750
MN187403	marburg	2018	Africa	Sierra Leone	genbank	genome	Rousettus aegyptiacus		https://www.ncbi.nlm.nih.gov/nuccore/MN187403
MN187404	marburg	2018	Africa	Sierra Leone	genbank	genome	Rousettus aegyptiacus		https://www.ncbi.nlm.nih.gov/nuccore/MN187404
MN187405	marburg	2018	Africa	Sierra Leone	genbank	genome	Rousettus aegyptiacus		https://www.ncbi.nlm.nih.gov/nuccore/MN187405
MN187406	marburg	2018	Africa	Sierra Leone	genbank	genome	Rousettus aegyptiacus		https://www.ncbi.nlm.nih.gov/nuccore/MN187406
KU978782	marburg	2005-01-01	Africa	Angola	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/KU978782
MG725616	marburg	2013-07	Africa	South Africa	genbank	genome	Rousettus aegyptiacus		https://www.ncbi.nlm.nih.gov/nuccore/MG725616
OL702894	marburg	2021-08-09	Africa	Guinea	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/OL702894
KY425629	marburg	2005-03-13	Africa	Angola	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/KY425629
MH638314	marburg	2017-10-13	Africa	Uganda	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/MH638314
OK665848	marburg	2021-08-03	Africa	Guinea	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/OK665848
MN258362	marburg	2017-12-11	Africa	Sierra Leone	genbank	genome	Rousettus aegyptiacus		https://www.ncbi.nlm.nih.gov/nuccore/MN258362
MT321489	marburg	2017	Africa	South Africa	genbank	genome	Rousettus aegyptiacus		https://www.ncbi.nlm.nih.gov/nuccore/MT321489
HS415030	marburg	2023	Africa	Equatorial Guinea	original	genome	Homo sapiens	Amadou Alpha Sall, Mitoha Ondo’o Ayekaba, Ousmane Faye, George Ameh, Florentino Abaga Ndoho, Abdourahmane Sow, Hieronyma Nelisiwe Gumede-Moeletsi, Xavier Berthet, Justino Obama, Amadou Diallo, Safietou Sankhe, Elizabeth Lucas Nyakarungu, Moussa Moise Diagne	https://virological.org/t/first-emergence-of-marburg-virus-in-equatorial-guinea-2023/924
MV-22-106	marburg	2022	Africa	Ghana	original	genome	Homo sapiens	Joseph Humphrey Kofi Bonney, Terrel Sanders, Patience Adams, Bright Adu, Ivy Asantewaa Asante, Evelyn Yayra Bonney, Deborah Pratt, Bright Agbodzi, Selassie Kumordjie, Clara Yeboah, Evangeline Obodai, Prince Ketorwoley, Mildred Tublu, Magdalene Ofori, Dennis Laryea, Franklin Asiedu-Bekoe, George Boateng Kyei, Sally-Ann Ohene, Gifty Boateng, Ryan Chapman, Ousmane Faye, Michael Wiley, John Kofi Odoom, Dorothy Yeboah-Manu	https://virological.org/t/first-ever-outbreak-of-marburg-virus-disease-declared-in-ghana-2022/897
MV-22-114C	marburg	2022	Africa	Ghana	original	genome	Homo sapiens	Joseph Humphrey Kofi Bonney, Terrel Sanders, Patience Adams, Bright Adu, Ivy Asantewaa Asante, Evelyn Yayra Bonney, Deborah Pratt, Bright Agbodzi, Selassie Kumordjie, Clara Yeboah, Evangeline Obodai, Prince Ketorwoley, Mildred Tublu, Magdalene Ofori, Dennis Laryea, Franklin Asiedu-Bekoe, George Boateng Kyei, Sally-Ann Ohene, Gifty Boateng, Ryan Chapman, Ousmane Faye, Michael Wiley, John Kofi Odoom, Dorothy Yeboah-Manu	https://virological.org/t/first-ever-outbreak-of-marburg-virus-disease-declared-in-ghana-2022/897
